type,path
pos,PKD -| SSH -> Coronin -| ROCK -> PKD
pos,PKD -| SSH -| ROCK -> PKD
pos,SSH -> Coronin -> SSH
neg,Cofilin -| Thymosin -| WASP -> Ena_Vasp -| CP -| Dia1 -> Profilin -| Arp2_3 -> Cofilin
pos,Cofilin -| Thymosin -| WASP -> Arp2_3 -> Cofilin
neg,Cofilin -| Thymosin -| WASP -> Profilin -| Arp2_3 -> Cofilin
pos,Cofilin -| Thymosin -| Cofilin
pos,Cofilin -| Thymosin -| Arp2_3 -> Cofilin
neg,Cofilin -| Thymosin -| Profilin -| Arp2_3 -> Cofilin
pos,Thymosin -| WASP -| Thymosin
pos,Profilin -| Arp2_3 -> CP -| Dia1 -> Profilin
